# OEIS A369431 certified terms included in this raw GitHub-ready package.
# Definition: a(n) = |Av_n(1234,1324,1342,2413)|.
# Status semantics:
#   oeis_known: term present in the local OEIS b-file source before this campaign.
#   canonical_run: term produced by the reviewed formula-free maximum-insertion production run.
# This table deliberately stops at n=22. The public b-file now continues through n=400
# with formula-derived terms documented separately; those rows are not canonical C runs.
# Columns: n	a_n	status	primary_source
# The label local_OEIS_snapshot_A369431 denotes the pre-campaign OEIS snapshot,
# not the later formula-extended public b-file.
0	1	oeis_known	local_OEIS_snapshot_A369431
1	1	oeis_known	local_OEIS_snapshot_A369431
2	2	oeis_known	local_OEIS_snapshot_A369431
3	6	oeis_known	local_OEIS_snapshot_A369431
4	20	oeis_known	local_OEIS_snapshot_A369431
5	66	oeis_known	local_OEIS_snapshot_A369431
6	214	oeis_known	local_OEIS_snapshot_A369431
7	688	oeis_known	local_OEIS_snapshot_A369431
8	2206	oeis_known	local_OEIS_snapshot_A369431
9	7070	oeis_known	local_OEIS_snapshot_A369431
10	22660	oeis_known	local_OEIS_snapshot_A369431
11	72634	oeis_known	local_OEIS_snapshot_A369431
12	232830	oeis_known	local_OEIS_snapshot_A369431
13	746352	oeis_known	local_OEIS_snapshot_A369431
14	2392486	oeis_known	local_OEIS_snapshot_A369431
15	7669286	oeis_known	local_OEIS_snapshot_A369431
16	24584436	oeis_known	local_OEIS_snapshot_A369431
17	78807122	oeis_known	local_OEIS_snapshot_A369431
18	252621702	oeis_known	local_OEIS_snapshot_A369431
19	809796400	oeis_known	local_OEIS_snapshot_A369431
20	2595858574	oeis_known	local_OEIS_snapshot_A369431
21	8321204878	canonical_run	results/a369431_n21.aggregate.tsv
22	26674199972	canonical_run	results/a369431_n22.aggregate.tsv

